customer_id,transaction_date,transaction_id,product_area_id,num_items,sales_cost
1,10/04/2020,4.35658E+11,3,7,19.16
1,10/04/2020,4.35658E+11,2,5,7.71
1,02/06/2020,4.3619E+11,4,4,26.97
1,02/06/2020,4.3619E+11,1,2,38.52
1,10/06/2020,4.36265E+11,4,4,22.13
1,10/06/2020,4.36265E+11,1,2,34.23
1,10/06/2020,4.36265E+11,2,7,15.35
1,19/06/2020,4.36352E+11,4,2,14.86
1,19/06/2020,4.36352E+11,5,6,44.97
1,19/06/2020,4.36352E+11,2,6,2.08
1,02/07/2020,4.36489E+11,4,5,20.43
1,02/07/2020,4.36489E+11,5,5,45.23
1,02/07/2020,4.36489E+11,1,18,385.68
1,02/07/2020,4.36489E+11,2,13,20.37
1,03/07/2020,4.365E+11,4,5,18.01
1,03/07/2020,4.365E+11,1,4,62.91
1,03/07/2020,4.365E+11,2,6,22.87
1,04/07/2020,4.36504E+11,4,14,81.44
1,04/07/2020,4.36504E+11,5,7,90.57
1,04/07/2020,4.36504E+11,1,18,367.42
1,04/07/2020,4.36504E+11,2,10,15.83
1,20/07/2020,4.36667E+11,4,5,13.14
1,20/07/2020,4.36667E+11,3,8,19.99
1,20/07/2020,4.36667E+11,5,6,60.77
1,20/07/2020,4.36667E+11,1,6,165.73
1,20/07/2020,4.36667E+11,2,10,13.65
1,22/07/2020,4.36686E+11,3,20,61.69
1,22/07/2020,4.36686E+11,5,9,103.78
1,22/07/2020,4.36686E+11,1,12,305.51
1,22/07/2020,4.36686E+11,2,12,26.55
1,12/08/2020,4.36899E+11,4,7,27.46
1,12/08/2020,4.36899E+11,3,16,52.28
1,12/08/2020,4.36899E+11,5,4,49.86
1,12/08/2020,4.36899E+11,1,15,404.21
1,12/08/2020,4.36899E+11,2,5,21.3
1,13/08/2020,4.36909E+11,4,6,25.41
1,13/08/2020,4.36909E+11,3,14,34.58
1,13/08/2020,4.36909E+11,5,6,78.22
1,13/08/2020,4.36909E+11,1,5,144.45
1,13/08/2020,4.36909E+11,2,6,1.86
1,14/08/2020,4.36914E+11,3,21,63.31
1,14/08/2020,4.36914E+11,5,4,33.22
1,14/08/2020,4.36914E+11,1,13,361.06
1,28/08/2020,4.37054E+11,4,13,89.1
1,28/08/2020,4.37054E+11,3,6,24.99
1,28/08/2020,4.37054E+11,1,10,177.03
1,28/08/2020,4.37054E+11,2,11,19.55
1,29/08/2020,4.36189E+11,4,6,28.79
1,29/08/2020,4.36189E+11,1,5,57.88
1,04/09/2020,4.37127E+11,5,6,36.76
1,04/09/2020,4.37127E+11,1,7,121.62
2,04/04/2020,4.35593E+11,5,1,12.42
2,04/04/2020,4.35593E+11,1,1,19.79
2,04/04/2020,4.35593E+11,2,6,7.71
2,15/04/2020,4.35704E+11,3,13,44.57
2,15/04/2020,4.35704E+11,1,2,32.62
2,28/04/2020,4.35835E+11,4,3,10.8
2,28/04/2020,4.35835E+11,1,5,105.77
2,09/05/2020,4.35947E+11,4,1,7.07
2,25/05/2020,4.36107E+11,5,1,5.08
2,25/05/2020,4.36107E+11,1,5,103.83
